Name,,Price,Rarity
Spell Scroll Level 0,,20 gp,Common
Spell Scroll Level 1,,40 gp,Common
Bead of Nourishment,,1 gp,Common
Bead of Refreshment,,1 gp,Common
Boots of False Tracks,,100 gp,Common
Candle of the Deep,,50 gp,Common
Cast-Off Armor (Any),,Armor + 200 gp,Common
Charlatan's Die,,5 gp,Common
Cloak of Billowing,,100 gp,Common
Cloak of Many Fashions,,100 gp,Common
Clockwork Amulet,,20 gp,Common
Clothes of Mending,,5 gp,Common
Dark Shard Amulet,,100 gp,Common
Dread Helm,,200 gp,Common
Ear Horn of Hearing,,150 gp,Common
Enduring Spellbook,,100 gp,Common
Ersatz Eye,,50 gp,Common
Hat of Vermin,,50 gp,Common
Hat of Wizardry,,100 gp,Common
Heward's Handy Spice Pouch,,40 gp,Common
Horn of Silent Alarm,,50 gp,Common
Instrument of Illusions,,50 gp,Common
Instrument of Scribing,,50 gp,Common
Lock of Trickery,,10 gp,Common
Moon-Touched Sword (Any),,500 gp,Common
Mystery Key,,5 sp,Common
Orb of Direction,,2 gp,Common
Orb of Time,,2 gp,Common
Perfume of Bewitching,,5 gp,Common
Pipe of Smoke Monsters,,15 gp,Common
Pole of Angling,,5 gp,Common
Pole of Collapsing,,50 gp,Common
Pot of Awakening,,200 gp,Common
Rope of Mending,,45 gp,Common
Ruby of the War Mage,,25 gp,Common
Shield of Expression,,50 gp,Common
Smoldering Armor,,100 gp,Common
Staff of Adornment,,50 gp,Common
Staff of Birdcalls,,50 gp,Common
Staff of Flowers,,50 gp,Common
Talking Doll,,20 gp,Common
Tankard of Sobriety,,2 gp,Common
Unbreakable Arrow,,1 gp,Common
Veteran's Cane,,30 gp,Common
Walloping Arrow,,2 gp,Common
Wand of Conducting,,35 gp,Common
Wand of Pyrotechnics,,50 gp,Common
Wand of Scowls,,50 gp,Common
Wand of Smiles,,50 gp,Common
Armor of Gleaming (Any),,Armor + 50 gp,Common
