Name,,Price,Rarity
Belt of Cloud Giant Strength,,"150,000 gp",Legendary
Spell Scroll Level 9,,"375,000 gp",Legendary
Universal Solvent,,300 gp,Legendary
Sovereign Glue,,400 gp,Legendary
(+3) Armor,,"25,000 gp",Legendary
(+3) Shield,,"25,000 gp",Legendary
Defender,,"20,000 gp",Legendary
Hammer of Thunderbolts,,"11,000 gp",Legendary
Holy Avenger,,"150,000 gp",Legendary
Sword of Answering,,"30,000 gp",Legendary
Efreeti Chain,,"20,000 gp",Legendary
Vorpal Sword,,"15,000 gp",Legendary
Ioun Stone Regeneration,,"5,000 gp",Legendary
Ioun Stone Mastery,,"15,000 gp",Legendary
Iron Horn of Valhalla,,"14,000 gp",Legendary
Rod of Lordly Might,,"28,000 gp",Legendary
Plate Armor of Etherealness,,"48,000 gp",Legendary
Armor of Invulnerability,,"18,000 gp",Legendary
Robe of the Archmagi,,"50,000 gp",Legendary
Talisman of the Sphere,,"20,000 gp",Legendary
Apparatus of Kwalish,,"10,000 gp",Legendary
Cubic Gate,,"40,000 gp",Legendary
Cloak of Invisibility,,"50,000 gp",Legendary
Ring of Invisibility,,"10,000 gp",Legendary
Ring of Three Wishes,,"150,000 gp",Legendary
Ring of Air Elemental Command,,"35,000 gp",Legendary
Ring of Earth Elemental Command,,"31,000 gp",Legendary
Rod of Ressurection,,"50,000 gp",Legendary
Belt of Storm Giant Strength,,Your Soul,Legendary
Ring of Fire Elemental Command,,"15,000 gp",Legendary
Ring of Water Elemental Command,,"20,000 gp",Legendary
Ring of Spell Turning,,"20,000 gp",Legendary
Scarab of Protection,,"30,000 gp",Legendary
Instrument of the Bards - Ollamh Harp,,"70,000 gp",Legendary
Luck Blade (Per Charge),,"50,000 gp",Legendary
Ioun Stone Greater Absorption,,"30,000 gp",Legendary
Talisman of Ultimate Evil,,"62,000 gp",Legendary
Talisman of Pure Good,,"72,000 gp",Legendary
