Name,,Price,Rarity
Spell Scroll Level 4,,"3,750 gp",Rare
Spell Scroll Level 5,,7.500 gp,Rare
Ammunition +2 (Per),,50 gp,Rare
Quaal's Feather Token Anchor,,50 gp,Rare
Quaal's Feather Token Fan,,250 gp,Rare
Quaal's Feather Token Whip,,250 gp,Rare
Quaal's Feather Token Bird,,"3,000 gp",Rare
Quaal's Feather Token Swan Boat,,"2,000 gp",Rare
Quaal's Feather Token Tree,,500 gp,Rare
Bead of Force,,"1,000 gp",Rare
Necklace of Fireballs (1 bead),,300 gp,Rare
Necklace of Fireballs (2 beads),,500 gp,Rare
Necklace of Fireballs (3 beads),,"1,000 gp",Rare
Necklace of Fireballs (4 beads),,"1,600 gp",Rare
Necklace of Fireballs (5 beads),,"4,000 gp",Rare
Necklace of Fireballs (6 beads),,"8,000 gp",Rare
Chime of Opening,,"1,500 gp",Rare
(+2) Weapon,,"3,000 gp",Rare
Sword of Wounding,,"2,000 gp",Rare
Flame Tongue,,"4,500 gp",Rare
(+2) Shield,,"4,000 gp",Rare
Vicious Weapon,,350 gp,Rare
Sunblade,,"8,000 gp",Rare
Dagger of Venom,,"1,500 gp",Rare
Giant Slayer,,"4,000 gp",Rare
Mace of Smiting,,"5,000 gp",Rare
Mace of Disruption,,"6,000 gp",Rare
Mace of Terror,,"6,000 gp",Rare
Ioun Stone Protection,,"1,200 gp",Rare
Ioun Stone Reserve,,"6,000 gp",Rare
Dragon Slayer,,"4,000 gp",Rare
Ioun Stone Awareness,,"12,000 gp",Rare
Staff of Withering,,"3,000 gp",Rare
Staff of the Woodlands,,"44,000 gp",Rare
Wand of Enemy Detection,,"2,000 gp",Rare
Wand of Binding,,"10,000 gp",Rare
Wand of Fear,,"10,000 gp",Rare
Wand of Paralysis,,"15,000 gp",Rare
Wand of Fireballs,,"30,000 gp",Rare
Wand of Lightning Bolts,,"30,000 gp",Rare
Wand of the War Mage +2,,"4,800 gp",Rare
Tentacle Rod,,"5,000 gp",Rare
Rod of the Pact Keeper +2,,"16,000 gp",Rare
Armor of Resistance,,"6,000 gp",Rare
Elven Chain,,"4,000 gp",Rare
Glamoured Armor,,"2,000 gp",Rare
Mantle of Spell Resistance,,"15,000 gp",Rare
Robe of Eyes,,"20,000 gp",Rare
Helm of Teleportation,,"40,000 gp",Rare
Arrow-Catching Shield,,"5,000 gp",Rare
Shield of Missile Attraction,,"4,000 gp",Rare
Boots of Speed,,"4,000 gp",Rare
Iron Bands of Bilarro,,"4,000 gp",Rare
Rope of Entanglement,,"4,000 gp",Rare
Belt of Dwarvenkind,,"6,000 gp",Rare
Belt of Hill Giant Strength,,"15,000 gp",Rare
Bracers of Defense,,"6,000 gp",Rare
Amulet of Health,,"8,000 gp",Rare
Ring of Resistance,,"6,000 gp",Rare
Ring of Protection,,"3,500 gp",Rare
Ring of Evasion,,"5,000 gp",Rare
Ring of Spell Storing,,"19,000 gp",Rare
Ring of Free Action,,"10,000 gp",Rare
Ring of the Ram,,"3,000 gp",Rare
Ring of Feather Falling,,"1,500 gp",Rare
Cloak of Displacement,,"10,000 gp",Rare
Prayer Bead - Bless,,"2,000 gp",Rare
Prayer Bead - Smiting,,"1,500 gp",Rare
Prayer Bead - Curing,,"4,000 gp",Rare
Prayer Bead - Wind Walking,,"96,000 gp",Rare
Prayer Bead - Favor,,"32,000 gp",Rare
Prayer Bead - Summons,,"128,000 gp",Rare
Instrument of the Bards - Cli Lyre,,"20,000 gp",Rare
Instrument of the Bards - Canaith Mandolin,,"22,000 gp",Rare
Serpentine Owl,,"8,000 gp",Rare
Bronze Griffon,,"8,000 gp",Rare
Ebony Fly,,"6,000 gp",Rare
Ivory Goat (Travail),,400 gp,Rare
Ivory Goat (Traveling),,"1,000 gp",Rare
Ivory Goat (Terror),,"15,000 gp",Rare
Goldean Lion,,600 gp,Rare
Onyx Dog,,"2,000 gp",Rare
Silver Horn of Valhalla,,"5,600 gp",Rare
Marble Elephant,,"5,000 gp",Rare
Bowl of Commanding Water Elementals,,"8,000 gp",Rare
Brazier of Commanding Fire Elementals,,"8,000 gp",Rare
Censer of Controlling Air Elementals,,"8,000 gp",Rare
Stone of Controlling Earth Elementals,,"8,000 gp",Rare
Brass Horn of Valhalla,,"8,000 gp",Rare
Ioun Stone Sustenance,,"1,000 gp",Rare
Heward's Handy Haversack,,"2,000 gp",Rare
Dimensional Shackles,,"3,000 gp",Rare
Portable Hole,,"6,000 gp",Rare
Boots of Levitation,,"2,000 gp",Rare
Horseshoes of Speed,,500 gp,Rare
Periapt of Proof Against Poison,,"5,000 gp",Rare
Cloak of the Bat,,"3,000 gp",Rare
Cape of the Mountebank,,"8,000 gp",Rare
Folding Boat,,"10,000 gp",Rare
Cube of Force,,"16,000 gp",Rare
Rod of Rulership,,"16,000 gp",Rare
Daern's Instant Fortress,,"75,000 gp",Rare
Gem of Seeing,,"10,000 gp",Rare
Ring of X-Ray Vision,,"6,000 gp",Rare
Ring of Animal Influence,,"4,000 gp",Rare
Wings of Flying,,"5,000 gp",Rare
Horn of Blasting,,450 gp,Rare
Scroll of Protection,,200 gp,Rare
(+1) Armor,,"1,500 gp",Rare
