Name,,Price,Rarity
Spell Scroll Level 2,,375 gp,Uncommon
Spell Scroll Level 3,,750 gp,Uncommon
(+1) Weapon,,"1,000 gp",Uncommon
(+1) Shield,,"1,000 gp",Uncommon
Javelin of Lightning,,500 gp,Uncommon
Weapon of Warning,,"4,000 gp",Uncommon
Staff of the Adder,,"1,800 gp",Uncommon
Wand of Magic Missiles,,"5,000 gp",Uncommon
Wand of Web,,"8,000 gp",Uncommon
Wand of the War Mage +1,,"1,200 gp",Uncommon
Rod of the Pact Keeper +1,,"12,000 gp",Uncommon
Adamantine Armor,,Armor + 500 gp,Uncommon
Mithral Armor,,Armor + 800 gp,Uncommon
Mariner's Armor,,"1,500 gp",Uncommon
Bracers of Archery,,"1,500 gp",Uncommon
Periapt of Wound Closure,,"5,000 gp",Uncommon
Sentinel Shield,,"9,000 gp",Uncommon
Circlet of Blasting,,"1,500 gp",Uncommon
Pipes of the Sewers,,"2,000 gp",Uncommon
Luckstone,,"4,200 gp",Uncommon
Saddle of the Cavalier,,"2,000 gp",Uncommon
Wind Fan,,"1,500 gp",Uncommon
Gloves of Missile Snaring,,"3,000 gp",Uncommon
Cloak of Protection,,"3,500 gp",Uncommon
Gauntlets of Ogre Power,,"8,000 gp",Uncommon
Headband of Intellect,,"8,000 gp",Uncommon
Pearl of Power,,"6,000 gp",Uncommon
Pipes of Haunting,,"2,000 gp",Uncommon
Brooch of Shielding,,"7,500 gp",Uncommon
Instrument of the Bards - Fochulan Bandlore,,15500 gp,Uncommon
Instrument of the Bards - Mac-Fuirmidh Cittern,,"17,000 gp",Uncommon
Instrument of the Bards - Doss Lute,,"18,500 gp",Uncommon
Silver Raven,,"5,000 gp",Uncommon
Staff of the Python,,"1,000 gp",Uncommon
Helm of Comprehend Languages,,500 gp,Uncommon
Driftglobe,,750 gp,Uncommon
Trident of Fish Command,,800 gp,Uncommon
Cap of Water Breathing,,"1,000 gp",Uncommon
Eversmoking Bottle,,"1,000 gp",Uncommon
Quiver of Ehlonna,,"1,000 gp",Uncommon
Wand of Magic Detection,,"1,500 gp",Uncommon
Wand of Secrets,,"1,500 gp",Uncommon
Rope of Climbing,,"2,000 gp",Uncommon
Boots of Elvenkind,,"2,500 gp",Uncommon
Eyes of Minute Seeing,,"2,500 gp",Uncommon
Eyes of the Eagle,,"2,500 gp",Uncommon
Cloak of Elvenkind,,"4,000 gp",Uncommon
Gloves of Thievery,,"1,000 gp",Uncommon
Hat of Disguise,,"2,000 gp",Uncommon
Boots of Striding and Springing,,"3,000 gp",Uncommon
Bag of Holding,,"2,000 gp",Uncommon
Eyes of Charming,,"3,000 gp",Uncommon
Gloves of Swimming and Climbing,,"2,000 gp",Uncommon
Necklace of Adaption,,"1,500 gp",Uncommon
Goggles of Night,,"1,500 gp",Uncommon
Immovable Rod,,500 gp,Uncommon
Lantern of Revealing,,"1,500 gp",Uncommon
Periapt of Health,,"4,000 gp",Uncommon
Medallion of Thoughts,,"2,000 gp",Uncommon
Alchemy Jug,,"2,000 gp",Uncommon
Sending Stones,,500 gp,Uncommon
Ring of Swimming,,"3,000 gp",Uncommon
Ring of Jumping,,"2,500 gp",Uncommon
Ring of Water Walking,,"1,500 gp",Uncommon
Ring of Warmth,,"1,000 gp",Uncommon
Broom of Flying,,"5,000 gp",Uncommon
Winged Boots,,"4,000 gp",Uncommon
Ring of Mind Shielding,,"16,000 gp",Uncommon
Decanter of Endless Water,,"5,000 gp",Uncommon
Amulet of Proof Against Detection and Location,,"10,000 gp",Uncommo
Helm of Telepathy,,"12,000 gp",Uncommon
Boots of the Winterlands,,"5,000 gp",Uncommon
Cloak of the Manta Ray,,"2,000 gp",Uncommon
Slippers of Spider Climbing,,"2,000 gp",Uncommon
Ammunition +1 (Per),,15 gp,Uncommon
Keoghtom's Ointment (1 Dose),,150 gp,Uncommon
Deck of Illusions,,"6,000 gp",Uncommon
Dust of Disappearance,,300 gp,Uncommon
Dust of Dryness(Per Pinch),,100 gp,Uncommon
Dust of Sneezing and Choking,,500 gp,Uncommon
Elemental Gem,,"1,000 gp",Uncommon
Gem of Brightness,,"5,000 gp",Uncommon
Robe of Useful Items,,"7,000 gp",Uncommon
